vehicle_id, count, datetime
v_1, 1, 2019-07-18 19:19:48.044276
v_5, 2, 2019-07-18 19:19:53.518646
v_8, 3, 2019-07-18 19:20:01.515951
v_11, 4, 2019-07-18 19:20:15.368021
v_18, 5, 2019-07-18 19:20:39.493462
v_31, 6, 2019-07-18 19:21:19.641111
v_40, 7, 2019-07-18 19:21:46.326049
v_61, 8, 2019-07-18 19:21:55.305316
v_72, 9, 2019-07-18 19:22:00.821227
v_87, 10, 2019-07-18 19:22:14.509476
v_108, 11, 2019-07-18 19:22:34.144614
v_120, 12, 2019-07-18 19:22:36.545403
v_122, 13, 2019-07-18 19:22:38.509754
v_124, 14, 2019-07-18 19:22:41.339681
v_132, 15, 2019-07-18 19:23:06.369902
v_136, 16, 2019-07-18 19:23:19.599342
v_145, 17, 2019-07-18 19:23:24.545405
v_150, 18, 2019-07-18 19:23:30.637509
v_162, 19, 2019-07-18 19:23:36.880792
v_166, 20, 2019-07-18 19:23:37.325434
v_168, 21, 2019-07-18 19:23:37.676733
v_170, 22, 2019-07-18 19:23:39.781429
v_179, 23, 2019-07-18 19:23:47.105944
v_186, 24, 2019-07-18 19:23:51.244860
