vehicle_id, count, datetime
v_1, 1, 2019-12-15 15:27:41.784257
v_2, 2, 2019-12-15 15:27:41.785138
v_7, 3, 2019-12-15 15:28:37.719713
v_9, 4, 2019-12-15 15:28:43.994816
v_10, 5, 2019-12-15 15:28:52.751654
v_12, 6, 2019-12-15 15:29:26.115925
v_14, 7, 2019-12-15 15:29:34.465756
v_16, 8, 2019-12-15 15:29:42.914418
v_23, 9, 2019-12-15 15:31:17.177029
v_24, 10, 2019-12-15 15:31:25.343189
v_27, 11, 2019-12-15 15:31:38.283530
v_34, 12, 2019-12-15 15:33:53.783598
v_37, 13, 2019-12-15 15:34:27.043957
v_39, 14, 2019-12-15 15:34:39.475725
v_40, 15, 2019-12-15 15:34:58.061380
v_42, 16, 2019-12-15 15:35:01.668773
v_49, 17, 2019-12-15 15:36:47.309604
v_55, 18, 2019-12-15 15:38:25.261795
v_57, 19, 2019-12-15 15:38:34.287251
v_58, 20, 2019-12-15 15:39:06.642097
v_60, 21, 2019-12-15 15:39:15.238175
v_62, 22, 2019-12-15 15:39:33.911312
v_66, 23, 2019-12-15 15:39:51.945866
v_67, 24, 2019-12-15 15:40:02.920085
v_69, 25, 2019-12-15 15:40:12.781359
v_70, 26, 2019-12-15 15:40:40.744517
v_75, 27, 2019-12-15 15:42:02.677871
v_77, 28, 2019-12-15 15:42:20.625909
v_79, 29, 2019-12-15 15:42:28.949402
