vehicle_id, count, datetime
v_1, 1, 2019-12-15 16:40:53.283540
v_3, 2, 2019-12-15 16:41:01.780393
v_4, 3, 2019-12-15 16:41:30.187433
v_5, 4, 2019-12-15 16:41:40.571650
v_10, 5, 2019-12-15 16:41:59.647759
v_11, 6, 2019-12-15 16:42:11.076708
v_16, 7, 2019-12-15 16:43:10.777581
v_19, 8, 2019-12-15 16:43:22.562175
v_25, 9, 2019-12-15 16:44:55.363310
v_26, 10, 2019-12-15 16:45:06.545565
v_27, 11, 2019-12-15 16:45:09.972447
v_31, 12, 2019-12-15 16:45:20.208233
v_33, 13, 2019-12-15 16:45:28.196685
v_35, 14, 2019-12-15 16:45:37.878750
v_38, 15, 2019-12-15 16:45:48.216806
v_39, 16, 2019-12-15 16:45:52.744943
v_43, 17, 2019-12-15 16:46:00.940052
v_44, 18, 2019-12-15 16:46:10.117947
v_47, 19, 2019-12-15 16:46:16.936189
v_49, 20, 2019-12-15 16:46:26.341134
v_28, 21, 2019-12-15 16:46:38.770620
v_53, 22, 2019-12-15 16:47:17.113477
v_60, 23, 2019-12-15 16:49:18.766715
v_68, 24, 2019-12-15 16:49:41.786302
v_72, 25, 2019-12-15 16:49:43.115076
v_75, 26, 2019-12-15 16:49:50.768263
v_80, 27, 2019-12-15 16:49:59.067195
v_84, 28, 2019-12-15 16:50:07.406391
v_74, 29, 2019-12-15 16:50:18.668861
v_86, 30, 2019-12-15 16:50:52.182900
v_90, 31, 2019-12-15 16:52:37.001093
v_92, 32, 2019-12-15 16:52:38.215440
v_95, 33, 2019-12-15 16:52:46.124959
v_96, 34, 2019-12-15 16:52:55.413738
v_99, 35, 2019-12-15 16:53:04.010375
v_102, 36, 2019-12-15 16:53:21.942039
v_105, 37, 2019-12-15 16:53:29.938743
v_106, 38, 2019-12-15 16:53:37.185011
v_108, 39, 2019-12-15 16:53:40.603665
v_109, 40, 2019-12-15 16:54:11.016129
v_113, 41, 2019-12-15 16:54:46.687438
